Region;Laius
Alsace;L'Alsace est une terre de grands vins blancs ! Les grands crus de Riesling et de Gewurztraminer ont désormais leur place dans le conscient collectif des français. La typicité de ses vins, l'Alsace la doit à un terroir exceptionnel. Des domaines de renom comme Zind-Humbrecht, Ostertag et Marcel Deiss s'efforcent, année après année, de proposer aux amateurs de vins des bouteilles d'une élégance rare. À cela, s'ajoute un patrimoine gastronomique unique et des paysages merveilleux qui enchantent toujours autant les visiteurs empruntant la mythique route des vins d'Alsace !
Sud-Ouest;S’il fallait trouver un saint patron des vins du Sud-ouest, il est fort probable que le roi Henri IV remporterait les suffrages, tant il a marqué la région et la France entière par sa bonhommie et son caractère « bon vivant » ! Si le vignoble du Sud Ouest est essentiellement connu grâce aux vins de Bergerac, Madiran, Cahors et Jurançon, d’autres joyaux, cependant, ornent sa couronne! Le Gaillac par exemple fait une percée extraordinaire depuis ces dix dernières années, sans parler des Côtes du Marmandais, d’Irouléguy et de Fronton qui, petit à petit, font leur trou. La palette des cépages du Sud-Ouest est impressionnante, elle permet d’offrir aux consommateurs des vins d’une grande diversité. Le Sud-ouest est bien sûr le pays du foie gras, du cassoulet et du pot-au-feu, mais aussi de nombreux monuments historiques et de paysages exceptionnels.
Beaujolais;Le vignoble du Beaujolais est bien souvent connu grâce au Beaujolais nouveau, ce vin de l’ « année » que l’on boit entre amis avec des charcuteries lyonnaises. Ce succès, on le doit essentiellement à l'entreprise de Mr Georges Duboeuf ! Cependant depuis quelques années, les crus du Beaujolais sont plus présents, comme c’est le cas de Brouilly, Morgon et Moulin à vent. Des producteurs passionnés arrivent à façonner des vins extraordinaires que l’on retrouve sur les plus grandes tables de France et de Navarre.
Bordeaux;Qui ne connaît pas le nom de Bordeaux grâce aux vins ? La notoriété du vignoble de Bordeaux n’est plus à faire. Cette notoriété, les Bordelais l’ont forgé depuis les Romains jusqu’au XVIIIème siècle, millésime après millésime ! Des châteaux exceptionnels sont sortis progressivement du néant à partir du XVIIème siècle: Yquem, Haut-Brion, Mouton-Rothschild, Lafite, Latour, Margaux…Tous ces vins de légende que l’on retrouve sur les tables des grands restaurants étoilés et dans les ventes aux enchères. La diversité géologique de Bordeaux est pour beaucoup dans la qualité et la complexité des vins. Mais, il y a aussi une très grande tradition de l’élevage des vins : l’élevage à la bordelaise. Cet élevage apporte aux vins un bouquet tout à fait particulier mais aussi une capacité de garde hors du commun.
Bourgogne;Quelle bonne idée a eu le Duc de Bourgogne, Philippe le Hardi, de faire cesser la plantation du gamay en terre bourguignonne ! Parce qu’il trouva ce cépage « vil et déloyal », sa plantation fut remplacée par le pinot noir pour le plus grand bonheur des sujets de Bourgogne et des autres duchés du royaume de France. De nos jours, nous ne pouvons que célébrer ce cépage grandiose qui ravit nos papilles gustatives, d’un climat à l’autre de Bourgogne. Mais, il n’est pas le seul grand cépage de Bourgogne, il partage sa gloire avec le grandiose chardonnay qui est à l’origine des grands vins Montrachet, Puligny-Montrachet, Meursault… Les domaines de la Romanée-Conti, celui de Jean-François Coche-Dury, ou de Mortet, produisent des vins hors du commun ! Heureusement, à côté de ces grands seigneurs, il existe de nombreux domaines qui produisent des vins excellents et plus abordables. Par aileurs, la Bourgogne est une région très riche en monuments historiques et sites naturels.
Champagne;Le vignoble de Champagne est (avec celui de Bordeaux et de la Bourgogne), un des piliers fondamentaux de la viticulture française et de sa renommée internationale ! Grâce au grand moine bénédictin Dom Pérignon, les moments festifs d’un grand nombre d’habitants de la planète, se fêtent au champagne. Moët et Chandon, Cristal Roederer, Bollinger, Deutz...tous ces champagnes, et bien d’autres, ont conquis les palais des nombreux amateurs de vins anglo-saxons. Dès sa conception, le champagne connut un succès immédiat, en France et en Europe. Il conquit rapidement son titre de Roi des vins mousseux. Depuis plus de dix ans, le champagne rosé fait une percée remarquable. Et cela se comprend, comment est-il possible ne pas se laisser envoûter par un si délicat breuvage. C’est d’ailleurs le seul vin rosé de France pouvant être élaboré par assemblage de vin blanc et de vin rouge !
Jura;Cet antique vignoble de France ne cessera jamais de nous étonner ! En effet, c’est ici qu’est produit le fameux vin jaune. Cet excellent vin, au délicieux goût de noix, est obtenu grâce au cépage savagnin et à une méthode d’élevage spécifique qui le rend très solide et apte à être gardé très longtemps. Le vin jaune ne peut être commercialisé uniquement que dans une bouteille appelée le clavelin, ayant une contenance de 62cl. Le vin jaune, accordé au fromage Comté ou à une poularde de Bresse, est un vrai régal ! C’est aussi la patrie du vin de paille, qui est vin moelleux obtenu par passerillage sur claies.
Languedoc-Roussillon;Le vignoble du Languedoc-Roussillon est un des plus grands de France avec une superficie de plus de 245 000 hectares plantée de vignes ! Il a été crée par les Grecs et les Romains dans la continuité de celui de Provence. On y découvre des vins somptueux élaborés grâce à des vignerons de talents comme Canet Valette, Gauby, La Grange des pères ou le Clos des Fées. Les cépages grenache et syrah sont bien représentés et offrent des vins typés comme Fitou, Corbières, Saint Chinian… Le Roussillon possède un très beau patrimoine viticole, surtout en ce qui concerne les vins doux naturels comme à Maury et à Banyuls. Sur les desserts ou en digestifs, ces vins sont parfaits. Le Languedoc et le Roussillon sont des régions superbes et très accueillantes. Ce sont des régions idéales pour organiser des routes des vins ludiques.
Loire;Les vignes de la Loire côtoient, pour notre plus grand plaisir visuel, les nombreux châteaux. Le vignoble du Val de Loire s’étend sur presque 1000 kilomètres, il suit la Loire de sa source jusqu’à son estuaire : du Massif Central à Nantes ! Les oenotouristes pourront admirer ces merveilles de l’architecture française, tout en dégustant des vins de Loire. Ces vins qui, dès le Xème siècle, connurent un franc succès dans le royaume de France mais aussi dans celui d’Angleterre . Le vignoble ligérien produit des vins de toutes sortes : rouge, rosé et blanc sec, mousseux, moelleux... Parmi les vins jouissant d’une grande notoriété nous pouvons citer le Chinon, le Bourgueil, le Pouilly-Fumé, le Bonnezeaux. Des vignerons ont fortement contribué à faire de la Loire un vignoble haut de gamme, en produisant des vins d’une finesse impressionnante.
Lorraine;Autrefois, le vignoble de Lorraine était très étendu mais il subit les guerres successives qui s’abattirent sur la France entre la fin du XIXème et le milieu du XXème siècle. Rappelons qu’en 1833, la Lorraine possédait 34 000 hectares de vignes ! Aujourd’hui, 150 hectares sont exploités. Ce vignoble est très connu en France grâce à son vin gris « pelure d’oignon ». Bien que le nombre de vignerons diminue dramatiquement dans cette région, différents types de vins sont tout de même présentés. Les résultats sont prometteurs pour l’avenir, ce sont des vins d’un très bon rapport qualité-prix.
